#{"t_start": 1596573520.444245, "env_id": null}
r,l,t
8,200,2189.549149
18,200,2196.277794
12,200,2203.149949
16,200,2210.563405
8,200,2217.22109
16,200,2223.902645
11,200,2230.784869
14,200,2237.617432
14,200,2245.167909
15,200,2251.85249
17,200,2258.380138
12,200,2264.774692
17,200,2271.545464
12,200,2278.989604
13,200,2285.570664
10,200,2292.428212
11,200,2298.735171
11,200,2305.475145
11,200,2312.511883
14,200,2319.302866
13,200,2325.96418
14,200,2332.808074
9,200,2339.39534
13,200,2347.084857
14,200,2354.221577
13,200,2360.551375
19,200,2367.404442
13,200,2374.033044
18,200,2381.417733
17,200,2388.128694
18,200,2394.813911
16,200,2401.602709
16,200,2408.023625
13,200,2415.035276
16,200,2421.979949
20,200,2428.688418
24,200,2435.557702
18,200,2442.355424
18,200,2449.392533
11,200,2455.938614
6,200,2462.41322
12,200,2469.291109
14,200,2476.177674
19,200,2483.8714
14,200,2490.602108
24,200,2497.192783
16,200,2504.080804
14,200,2510.772333
13,200,2518.340459
18,200,2525.237462
14,200,2531.87783
19,200,2538.828756
13,200,2545.909893
20,200,2553.317423
16,200,2560.095798
18,200,2566.74944
17,200,2573.631517
13,200,2580.42861
9,200,2587.663835
13,200,2594.525861
16,200,2601.638458
16,200,2607.993472
18,200,2614.678437
15,200,2622.149243
14,200,2629.112618
12,200,2635.891827
16,200,2642.374683
12,200,2649.056495
15,200,2656.38286
18,200,2663.322694
12,200,2670.233252
14,200,2677.154024
18,200,2683.492857
12,200,2690.973681
16,200,2697.867732
16,200,2704.527154
12,200,2711.585185
14,200,2718.113954
19,200,2725.577982
20,200,2732.539354
14,200,2739.385408
11,200,2746.230502
18,200,2752.749636
15,200,2760.037103
11,200,2766.585399
17,200,2773.373308
22,200,2780.238739
18,200,2787.162131
16,200,2794.477887
19,200,2801.463175
14,200,2808.209913
18,200,2815.19643
12,200,2822.245077
16,200,2829.826426
19,200,2836.240025
19,200,2843.084257
19,200,2849.848175
12,200,2856.620321
22,200,2864.09681
15,200,2870.622452
16,200,2877.431221
16,200,2884.300512
14,200,2891.265255
15,200,2898.875087
20,200,2905.404191
21,200,2911.993303
18,200,2918.749849
9,200,2925.584329
9,200,2933.07061
24,200,2939.612122
15,200,2946.676163
19,200,2953.252917
17,200,2959.998811
19,200,2967.107131
14,200,2974.075322
15,200,2980.934061
14,200,2987.530679
18,200,2994.321223
17,200,3001.824556
22,200,3008.906113
12,200,3016.10435
11,200,3022.724066
14,200,3029.228281
13,200,3036.678548
17,200,3043.448072
16,200,3049.921399
14,200,3056.6209
18,200,3063.1572
19,200,3070.809348
18,200,3077.753391
19,200,3084.636302
13,200,3091.288249
11,200,3098.140787
7,200,3105.462041
10,200,3112.558253
13,200,3119.568336
20,200,3126.643496
15,200,3133.576197
8,200,3141.387338
18,200,3147.953846
10,200,3154.535568
13,200,3161.712901
19,200,3168.649571
17,200,3176.059131
17,200,3182.527606
16,200,3189.235672
12,200,3195.888292
17,200,3202.905493
14,200,3210.401425
19,200,3216.996997
24,200,3223.960818
16,200,3231.211763
15,200,3238.098103
11,200,3245.733849
10,200,3252.245147
16,200,3258.79286
11,200,3265.6353
10,200,3272.305784
14,200,3279.77142
12,200,3286.562813
12,200,3292.568228
20,200,3299.202421
21,200,3305.956484
7,200,3313.497075
15,200,3320.279076
10,200,3327.042263
15,200,3333.766947
17,200,3340.641068
14,200,3348.139398
20,200,3354.939547
16,200,3361.907716
15,200,3368.217518
20,200,3375.072065
14,200,3382.726625
10,200,3389.364274
14,200,3395.824119
14,200,3402.629507
20,200,3409.173962
20,200,3416.850926
9,200,3423.664377
20,200,3430.530872
20,200,3437.623534
20,200,3443.673619
11,200,3451.131037
16,200,3457.646039
19,200,3464.703602
13,200,3471.664003
16,200,3478.376056
11,200,3485.820395
12,200,3492.542067
18,200,3499.60908
17,200,3506.587465
13,200,3513.407933
13,200,3520.621664
14,200,3526.580603
8,200,3533.635868
12,200,3540.335038
20,200,3547.070656
12,200,3554.765998
17,200,3561.032693
14,200,3567.565934
17,200,3574.455473
10,200,3581.026083
13,200,3588.270077
15,200,3594.90224
9,200,3601.266327
10,200,3608.0454
14,200,3614.715665
9,200,3622.396415
19,200,3629.408235
20,200,3636.06187
17,200,3642.247096
10,200,3649.436544
16,200,3657.151342
25,200,3663.993781
19,200,3671.044812
18,200,3677.637771
17,200,3684.485116
20,200,3692.032613
14,200,3698.820189
15,200,3705.619965
21,200,3712.522843
19,200,3719.132151
18,200,3726.829122
12,200,3733.674
15,200,3740.026997
11,200,3746.972181
14,200,3753.439154
16,200,3760.953202
18,200,3767.801855
16,200,3774.614027
17,200,3781.518286
24,200,3788.06375
11,200,3795.402905
16,200,3802.293714
20,200,3809.019179
20,200,3816.036366
20,200,3822.983004
17,200,3830.289991
18,200,3836.616137
20,200,3843.460409
16,200,3850.101268
23,200,3857.038363
16,200,3864.478166
16,200,3870.754768
11,200,3877.612871
21,200,3884.421439
19,200,3891.138201
16,200,3898.893063
14,200,3905.373518
13,200,3911.807779
19,200,3918.649184
17,200,3925.470232
23,200,3932.95187
21,200,3939.624325
15,200,3945.930482
16,200,3952.642582
19,200,3959.764243
18,200,3967.608217
20,200,3974.456635
11,200,3981.053285
12,200,3987.843536
13,200,3994.807708
12,200,4002.209511
16,200,4009.347154
23,200,4016.008169
20,200,4022.54015
24,200,4029.490469
18,200,4037.240151
18,200,4044.120018
19,200,4050.771433
11,200,4057.064603
13,200,4063.873851
11,200,4071.57452
16,200,4078.387951
17,200,4084.946526
16,200,4091.900564
15,200,4098.289922
21,200,4105.96032
19,200,4112.696855
11,200,4119.295163
22,200,4126.204762
12,200,4132.796396
21,200,4140.083284
20,200,4146.760282
15,200,4153.420066
18,200,4160.40636
18,200,4167.368091
22,200,4175.174709
19,200,4181.878164
19,200,4188.604467
17,200,4195.170111
18,200,4201.969543
18,200,4209.53565
22,200,4216.211401
17,200,4222.76752
21,200,4229.109626
15,200,4236.192949
20,200,4243.89439
16,200,4250.319488
23,200,4257.412623
18,200,4264.294665
15,200,4271.252846
12,200,4278.627558
23,200,4285.351699
20,200,4291.596487
19,200,4298.316557
19,200,4305.34566
19,200,4312.771657
22,200,4319.509726
21,200,4325.89309
19,200,4332.675382
16,200,4339.828462
17,200,4347.759364
19,200,4354.548788
22,200,4361.49879
16,200,4367.749985
22,200,4374.216392
25,200,4381.764175
18,200,4388.605728
28,200,4395.429647
16,200,4402.053298
17,200,4408.357751
15,200,4415.841041
27,200,4422.507162
18,200,4429.001879
21,200,4435.184267
23,200,4441.614841
20,200,4448.989593
16,200,4455.652915
21,200,4462.307523
11,200,4469.277945
13,200,4475.796969
18,200,4483.312597
19,200,4490.096515
15,200,4497.054582
16,200,4503.885838
21,200,4510.576989
16,200,4518.298606
13,200,4524.887861
12,200,4531.525223
25,200,4538.325538
24,200,4545.086162
24,200,4552.920048
14,200,4559.331856
17,200,4566.146168
17,200,4572.754833
11,200,4579.213633
17,200,4586.827707
23,200,4593.789194
17,200,4599.957637
19,200,4606.933794
21,200,4613.820697
17,200,4621.60662
18,200,4628.284368
21,200,4634.621164
15,200,4641.651917
25,200,4648.542578
19,200,4656.246753
22,200,4663.359726
24,200,4670.288211
21,200,4676.804193
16,200,4683.382517
20,200,4691.056843
21,200,4697.985178
21,200,4704.71129
16,200,4711.013864
18,200,4717.903258
19,200,4725.403661
20,200,4732.152594
19,200,4739.194759
15,200,4746.073783
12,200,4752.480095
25,200,4760.68059
19,200,4767.551431
12,200,4774.385674
14,200,4781.001191
8,200,4787.559914
19,200,4795.078454
19,200,4801.843932
21,200,4808.535488
17,200,4815.281167
16,200,4822.05326
20,200,4829.355546
25,200,4836.300905
21,200,4842.971119
17,200,4849.585148
16,200,4856.384123
16,200,4863.837734
25,200,4870.652276
23,200,4877.304651
18,200,4884.450932
20,200,4891.19003
13,200,4899.000496
16,200,4905.531988
15,200,4911.966868
21,200,4918.83933
13,200,4925.189641
18,200,4932.884313
13,200,4939.299368
18,200,4946.01695
13,200,4952.765584
21,200,4959.480169
21,200,4967.544631
21,200,4973.573573
19,200,4980.039183
20,200,4986.956264
15,200,4993.381078
21,200,5001.077738
21,200,5007.837071
22,200,5014.799345
17,200,5021.094612
19,200,5027.665308
22,200,5035.294136
19,200,5042.143862
26,200,5049.200658
16,200,5055.45319
17,200,5062.306805
26,200,5070.104761
23,200,5076.824832
29,200,5083.819227
24,200,5090.77452
22,200,5097.228032
25,200,5104.928962
19,200,5111.844537
17,200,5118.627267
17,200,5125.188905
16,200,5131.627442
15,200,5139.343224
12,200,5146.290764
17,200,5153.112271
17,200,5160.055212
19,200,5166.856694
23,200,5174.042239
26,200,5180.986382
25,200,5187.759822
22,200,5194.513767
21,200,5201.30771
15,200,5208.480124
14,200,5215.343238
23,200,5221.787838
19,200,5228.67866
18,200,5235.287533
24,200,5242.446873
25,200,5248.776291
13,200,5255.624059
18,200,5262.637632
24,200,5269.251328
19,200,5277.078743
19,200,5283.925548
19,200,5290.445566
19,200,5297.260498
22,200,5304.081534
17,200,5311.930619
13,200,5318.416187
19,200,5324.819636
23,200,5331.561265
22,200,5338.279239
14,200,5345.860844
11,200,5352.462713
14,200,5359.024087
23,200,5365.417352
27,200,5372.191863
29,200,5380.016815
18,200,5386.833085
18,200,5393.839625
14,200,5400.371027
29,200,5406.990034
24,200,5414.505879
11,200,5421.097926
20,200,5427.991889
26,200,5434.647314
19,200,5441.011734
15,200,5448.793017
13,200,5455.735339
24,200,5462.318861
22,200,5469.217745
20,200,5476.110487
19,200,5483.610934
16,200,5490.281956
21,200,5497.19745
16,200,5504.054116
20,200,5510.574073
14,200,5518.14143
17,200,5524.992186
20,200,5532.198628
21,200,5539.094228
23,200,5545.886479
25,200,5553.640587
13,200,5559.728623
14,200,5566.629429
17,200,5573.281161
11,200,5580.156351
15,200,5588.02229
18,200,5594.288239
18,200,5601.165832
18,200,5607.758765
19,200,5614.914355
20,200,5622.60724
21,200,5629.57553
21,200,5636.382169
18,200,5643.181005
22,200,5649.842322
23,200,5657.111501
18,200,5664.013108
21,200,5670.989322
21,200,5677.391644
22,200,5684.220719
15,200,5692.342867
16,200,5699.283438
19,200,5705.934958
19,200,5712.09455
9,200,5718.808556
27,200,5726.64895
19,200,5733.381334
22,200,5740.226559
26,200,5747.346427
25,200,5753.634219
14,200,5761.44426
19,200,5768.172039
16,200,5775.346502
11,200,5782.101868
15,200,5788.552858
10,200,5796.258616
14,200,5803.040413
14,200,5809.867378
22,200,5816.558216
24,200,5823.344252
18,200,5830.684857
19,200,5837.367768
22,200,5843.926494
23,200,5850.848849
24,200,5857.807025
23,200,5865.163194
19,200,5872.041566
16,200,5878.767
17,200,5885.440267
24,200,5891.978485
21,200,5899.691945
17,200,5905.936296
24,200,5912.57252
16,200,5919.181322
19,200,5926.022452
14,200,5933.940162
12,200,5940.567851
13,200,5946.945376
21,200,5953.241797
20,200,5959.726387
14,200,5967.518437
26,200,5974.153815
23,200,5980.458616
24,200,5987.314709
21,200,5993.760355
22,200,6000.835405
32,200,6007.968962
24,200,6014.806953
18,200,6021.800777
13,200,6028.7094
25,200,6037.197613
17,200,6044.107169
23,200,6050.352207
23,200,6057.035452
16,200,6063.590515
21,200,6071.670365
20,200,6078.47685
20,200,6085.497882
23,200,6092.463091
21,200,6098.396576
21,200,6106.531225
20,200,6113.061784
19,200,6119.912789
14,200,6126.521835
14,200,6133.043092
19,200,6140.736037
29,200,6147.123283
24,200,6153.955601
20,200,6160.700389
16,200,6167.247377
22,200,6174.628767
24,200,6181.719446
22,200,6188.417127
22,200,6195.018726
23,200,6201.780906
18,200,6209.403116
18,200,6215.80298
20,200,6222.736944
24,200,6229.78374
26,200,6236.679617
21,200,6244.522149
18,200,6250.935126
14,200,6257.804214
23,200,6264.626408
24,200,6271.815675
19,200,6279.558352
22,200,6286.469304
16,200,6292.570028
20,200,6299.692966
22,200,6306.624255
25,200,6314.408672
24,200,6321.386758
20,200,6328.264307
19,200,6335.261178
19,200,6341.900804
19,200,6349.801701
19,200,6356.497925
18,200,6363.096143
15,200,6369.534647
19,200,6376.743703
22,200,6384.533901
18,200,6391.061038
19,200,6397.532298
19,200,6403.818324
20,200,6410.313437
20,200,6418.247619
19,200,6425.315464
21,200,6432.295038
25,200,6438.712918
23,200,6444.898882
14,200,6452.919893
17,200,6459.771147
20,200,6466.679839
20,200,6473.345327
26,200,6480.126003
30,200,6487.438865
18,200,6494.393537
17,200,6501.270377
18,200,6508.168885
22,200,6515.10658
23,200,6523.054194
22,200,6529.697551
21,200,6536.349176
21,200,6542.987567
26,200,6549.733485
26,200,6557.873945
15,200,6564.63873
19,200,6571.390267
25,200,6578.316837
23,200,6584.99021
22,200,6592.759419
17,200,6599.029004
21,200,6605.840165
13,200,6612.367204
21,200,6619.308188
19,200,6627.412216
10,200,6633.985342
22,200,6640.243063
26,200,6647.151525
16,200,6654.012441
13,200,6662.248987
25,200,6669.229935
18,200,6675.491159
25,200,6682.164876
23,200,6689.013363
25,200,6696.953231
26,200,6703.833633
18,200,6710.686571
20,200,6716.870247
25,200,6723.851932
20,200,6732.144643
22,200,6738.895858
26,200,6745.793679
18,200,6751.999189
23,200,6758.915886
23,200,6767.03983
25,200,6774.203815
23,200,6780.707676
21,200,6787.336221
25,200,6793.680822
17,200,6801.450913
16,200,6808.186392
17,200,6814.909517
25,200,6821.72038
19,200,6828.093341
20,200,6835.841836
19,200,6842.876081
17,200,6849.854445
23,200,6856.973804
13,200,6863.603236
18,200,6870.927521
15,200,6877.578621
26,200,6884.396111
21,200,6891.386227
25,200,6898.135163
21,200,6905.639083
18,200,6912.659471
18,200,6919.6635
27,200,6926.461816
24,200,6933.143301
23,200,6941.068925
28,200,6947.618667
21,200,6954.618088
19,200,6961.499833
20,200,6968.429044
19,200,6976.113011
18,200,6982.850872
23,200,6989.553015
20,200,6996.585113
15,200,7003.412791
20,200,7011.466925
18,200,7018.414638
25,200,7024.551137
24,200,7031.355097
12,200,7038.07541
19,200,7046.034645
24,200,7053.032119
25,200,7059.745536
21,200,7066.175563
19,200,7072.807485
16,200,7080.897449
16,200,7087.932249
11,200,7094.931839
26,200,7101.34193
28,200,7108.102031
21,200,7116.026225
20,200,7122.757833
19,200,7129.748534
17,200,7136.472613
18,200,7142.781851
13,200,7150.560081
20,200,7157.543972
24,200,7164.528781
25,200,7171.136949
28,200,7177.655348
24,200,7185.762153
13,200,7192.495015
25,200,7199.199601
21,200,7206.196221
23,200,7213.297244
23,200,7220.196221
25,200,7226.661611
18,200,7233.652874
26,200,7240.297148
20,200,7247.196913
28,200,7254.733104
17,200,7261.736365
18,200,7268.247895
31,200,7274.863812
20,200,7281.677493
22,200,7289.632206
29,200,7296.059694
26,200,7302.88597
33,200,7310.07925
20,200,7316.885808
20,200,7324.912015
21,200,7331.438623
22,200,7338.113302
22,200,7344.912108
19,200,7351.806565
26,200,7359.444841
18,200,7365.976527
25,200,7372.303083
17,200,7379.070994
18,200,7386.076329
15,200,7393.966897
15,200,7400.916027
18,200,7407.962141
16,200,7414.36158
15,200,7421.006587
18,200,7429.333604
21,200,7436.066814
19,200,7442.894142
16,200,7449.221797
22,200,7456.044035
22,200,7463.902623
21,200,7470.839524
19,200,7477.75942
18,200,7484.534003
19,200,7490.797879
24,200,7498.97866
17,200,7505.554027
12,200,7512.17935
20,200,7519.219414
11,200,7525.526529
25,200,7533.045451
20,200,7539.591787
20,200,7546.379434
10,200,7553.603871
22,200,7560.125135
17,200,7567.919065
12,200,7574.758619
26,200,7581.669336
27,200,7589.076792
18,200,7596.191624
21,200,7603.483255
28,200,7609.710921
27,200,7616.364723
33,200,7623.391317
17,200,7630.173244
17,200,7638.089571
23,200,7644.348736
18,200,7651.202279
27,200,7657.878608
25,200,7664.969886
18,200,7673.073973
15,200,7679.8252
26,200,7686.193499
22,200,7693.237041
22,200,7700.069556
15,200,7707.579948
24,200,7714.831544
24,200,7721.218734
17,200,7728.156244
20,200,7735.089137
18,200,7743.175631
15,200,7750.179335
22,200,7756.702415
16,200,7762.832265
26,200,7769.441914
21,200,7777.453316
26,200,7784.204714
15,200,7791.115748
12,200,7797.538575
20,200,7804.183946
10,200,7812.405702
21,200,7819.270236
24,200,7825.954239
16,200,7832.948633
21,200,7839.311265
26,200,7847.292696
15,200,7853.848166
16,200,7860.337642
14,200,7867.268213
