#{"t_start": 1596054151.3228137, "env_id": null}
r,l,t
50,200,1786.46449
51,200,1792.076743
48,200,1796.978305
45,200,1802.269156
51,200,1807.765239
48,200,1813.354302
51,200,1818.66699
47,200,1823.788671
42,200,1828.738955
43,200,1833.917764
40,200,1839.921325
51,200,1845.23125
42,200,1850.685341
50,200,1855.979714
46,200,1861.698467
46,200,1868.064311
50,200,1873.711135
59,200,1878.967421
47,200,1884.466923
58,200,1889.392622
45,200,1895.536366
56,200,1901.050867
52,200,1906.37634
45,200,1911.629031
56,200,1916.58577
50,200,1922.463305
49,200,1927.456489
62,200,1932.552668
49,200,1937.774932
47,200,1942.938078
62,200,1949.121355
42,200,1954.589741
43,200,1959.683157
52,200,1965.160633
48,200,1970.54392
59,200,1976.743005
49,200,1982.418079
44,200,1987.750793
42,200,1992.948114
49,200,1998.354244
49,200,2004.153746
46,200,2009.35571
42,200,2014.854336
51,200,2020.017928
51,200,2025.00072
44,200,2031.176841
53,200,2036.181577
55,200,2041.447426
40,200,2046.748995
47,200,2052.111192
57,200,2058.37075
41,200,2064.038925
45,200,2068.942285
41,200,2074.020794
57,200,2079.4827
48,200,2085.858736
44,200,2091.048228
53,200,2096.420942
52,200,2101.879215
48,200,2107.292929
56,200,2112.941127
61,200,2118.275713
52,200,2123.495558
44,200,2128.595828
44,200,2133.637082
45,200,2139.74959
36,200,2145.13436
42,200,2150.328837
54,200,2155.406224
47,200,2160.645091
44,200,2166.519701
48,200,2171.699919
46,200,2177.277285
45,200,2182.878567
54,200,2188.404456
48,200,2194.952246
42,200,2200.670139
45,200,2205.731371
38,200,2211.156605
45,200,2216.091071
52,200,2221.948135
44,200,2226.912155
51,200,2231.63422
48,200,2236.811289
46,200,2242.185841
47,200,2248.419011
49,200,2253.201121
53,200,2258.545774
51,200,2264.035924
47,200,2269.327698
44,200,2274.931225
46,200,2280.160372
37,200,2285.555153
53,200,2290.941524
42,200,2296.135968
52,200,2301.992078
56,200,2307.279657
42,200,2312.641915
47,200,2317.791412
51,200,2323.309113
45,200,2329.981424
54,200,2335.533577
48,200,2340.933292
49,200,2346.095848
41,200,2351.389095
46,200,2357.724308
57,200,2363.069505
55,200,2368.098379
51,200,2373.351743
45,200,2378.462126
47,200,2384.616647
58,200,2389.796193
42,200,2394.96366
46,200,2400.173734
54,200,2405.574175
50,200,2412.076899
56,200,2417.256299
49,200,2422.675933
43,200,2427.983919
47,200,2433.508121
40,200,2439.76752
43,200,2444.923592
48,200,2449.910345
52,200,2454.957224
43,200,2460.463596
58,200,2466.561033
47,200,2471.837954
45,200,2476.962748
48,200,2482.510681
50,200,2487.907038
46,200,2494.197506
54,200,2499.497722
51,200,2505.181499
55,200,2510.360319
43,200,2515.638288
49,200,2522.121776
46,200,2527.642442
55,200,2532.564574
44,200,2538.123927
47,200,2543.514262
53,200,2549.590333
51,200,2554.55854
50,200,2560.022214
44,200,2565.350805
50,200,2570.586215
61,200,2576.645971
44,200,2582.075384
42,200,2587.100827
53,200,2592.191138
48,200,2597.840502
47,200,2603.902339
55,200,2609.137306
51,200,2614.452884
52,200,2619.786072
61,200,2625.872212
53,200,2632.204763
49,200,2637.614244
58,200,2642.769193
48,200,2648.062449
59,200,2653.47377
51,200,2659.854351
46,200,2665.132685
51,200,2670.604478
45,200,2675.971238
46,200,2681.546916
57,200,2687.559034
48,200,2693.023338
47,200,2698.270316
53,200,2703.553618
50,200,2708.692077
62,200,2715.482312
52,200,2720.743997
50,200,2725.851531
48,200,2730.921674
48,200,2735.980788
55,200,2742.556751
43,200,2747.772842
50,200,2752.731495
44,200,2758.021745
54,200,2763.190882
62,200,2769.028287
63,200,2774.497125
57,200,2779.701659
52,200,2784.707646
56,200,2790.122926
44,200,2796.298827
54,200,2801.798309
56,200,2807.047761
54,200,2812.244821
48,200,2817.115537
54,200,2822.941575
49,200,2828.604909
39,200,2833.443153
55,200,2838.829506
44,200,2844.075314
47,200,2850.392663
49,200,2855.685599
52,200,2861.127553
55,200,2866.067676
47,200,2871.508947
59,200,2878.188032
57,200,2883.570436
58,200,2888.72599
52,200,2893.5924
53,200,2899.128413
54,200,2905.374515
50,200,2910.652539
49,200,2915.838761
61,200,2921.167035
59,200,2926.925574
51,200,2933.082975
46,200,2938.249705
55,200,2943.256664
63,200,2948.589749
43,200,2953.689646
53,200,2960.106082
61,200,2965.241277
54,200,2970.437436
50,200,2975.964587
48,200,2981.024774
55,200,2987.015675
59,200,2992.296714
52,200,2998.080818
52,200,3003.228473
63,200,3008.586922
55,200,3014.751088
53,200,3019.991255
61,200,3025.121608
57,200,3030.92383
54,200,3036.109161
50,200,3042.106475
46,200,3046.932674
50,200,3052.526741
52,200,3058.339554
53,200,3063.416073
46,200,3070.049635
56,200,3075.212536
54,200,3080.51971
58,200,3086.048834
54,200,3091.101897
58,200,3098.018295
54,200,3103.670598
68,200,3108.699723
59,200,3113.57111
54,200,3119.111623
54,200,3125.457895
50,200,3131.039681
63,200,3136.577243
58,200,3141.921901
46,200,3147.440712
58,200,3153.444069
43,200,3158.377136
61,200,3163.468769
48,200,3169.013343
52,200,3173.873683
48,200,3179.98737
50,200,3185.274285
52,200,3190.494517
58,200,3195.278683
60,200,3200.073988
44,200,3206.114053
42,200,3211.257996
54,200,3216.716643
62,200,3221.563258
58,200,3226.558001
55,200,3232.391637
48,200,3237.553673
61,200,3242.410694
58,200,3247.733266
44,200,3253.247146
52,200,3259.292222
43,200,3264.522794
