#{"t_start": 1596008017.7630699, "env_id": null}
r,l,t
35,200,964.624932
40,200,967.252705
47,200,969.923027
46,200,973.454596
44,200,976.20573
44,200,978.6516
39,200,981.184707
39,200,983.780739
47,200,987.104074
43,200,989.79767
55,200,992.627698
40,200,995.10551
43,200,997.820056
41,200,1001.436273
51,200,1004.063914
41,200,1006.695049
42,200,1009.416265
49,200,1012.005571
44,200,1015.349623
48,200,1018.084663
46,200,1020.897436
52,200,1023.503568
38,200,1025.973137
51,200,1029.520959
46,200,1032.23304
43,200,1034.810313
51,200,1037.434695
47,200,1040.123319
52,200,1043.63856
55,200,1046.455294
46,200,1049.061014
44,200,1051.820251
36,200,1054.455054
42,200,1057.946316
44,200,1060.589256
44,200,1063.262112
44,200,1065.906271
49,200,1068.569121
39,200,1072.130705
42,200,1074.692335
40,200,1077.209242
44,200,1079.9961
41,200,1082.548415
47,200,1085.833953
47,200,1088.402217
45,200,1090.989427
52,200,1093.535616
36,200,1096.145629
47,200,1099.550025
43,200,1102.260324
45,200,1104.876679
54,200,1107.469376
43,200,1110.031604
53,200,1113.656149
49,200,1116.294264
52,200,1118.881549
41,200,1121.399981
45,200,1124.007317
46,200,1127.575401
41,200,1130.229514
50,200,1132.789926
39,200,1135.263657
39,200,1137.853378
43,200,1141.352638
37,200,1143.945745
44,200,1146.575952
47,200,1149.250467
46,200,1151.854552
47,200,1155.432639
39,200,1158.102532
47,200,1160.666529
48,200,1163.179048
43,200,1166.015572
40,200,1169.480603
46,200,1172.255874
51,200,1174.870503
43,200,1177.546714
36,200,1180.163338
48,200,1183.662551
45,200,1186.257448
45,200,1188.820554
42,200,1191.455691
44,200,1194.16417
46,200,1198.149264
52,200,1200.901843
47,200,1203.580791
50,200,1206.385884
44,200,1209.118595
37,200,1212.518569
43,200,1215.047535
55,200,1217.743829
47,200,1220.300634
41,200,1222.927932
57,200,1226.474986
45,200,1229.257623
44,200,1231.879488
46,200,1234.494284
47,200,1237.053995
42,200,1240.524346
46,200,1243.085233
37,200,1245.676332
46,200,1248.354076
44,200,1250.97808
40,200,1254.596875
54,200,1257.203984
49,200,1259.742672
47,200,1262.419556
48,200,1265.122944
48,200,1269.026255
44,200,1271.735368
49,200,1274.328706
41,200,1276.927704
47,200,1279.61431
49,200,1283.295788
50,200,1285.95473
47,200,1288.620154
51,200,1291.238482
49,200,1293.694781
47,200,1297.37177
42,200,1300.130991
44,200,1302.733429
42,200,1305.465328
39,200,1308.035553
43,200,1311.287965
48,200,1313.997954
39,200,1316.568471
45,200,1319.300726
45,200,1321.816714
39,200,1325.183903
47,200,1327.935852
43,200,1330.505244
54,200,1333.036489
37,200,1335.62217
