#{"t_start": 1596054045.4417949, "env_id": null}
r,l,t
51,200,1766.64924
59,200,1772.220153
50,200,1777.512484
50,200,1782.649358
66,200,1788.73553
39,200,1794.142572
54,200,1799.283003
52,200,1804.340614
45,200,1809.379635
51,200,1814.974834
47,200,1820.056327
46,200,1825.345137
38,200,1830.556457
57,200,1835.769975
42,200,1841.365273
49,200,1846.795009
46,200,1851.807425
51,200,1857.266591
54,200,1862.355604
51,200,1868.283471
50,200,1873.562933
50,200,1878.745241
47,200,1884.207524
50,200,1889.397816
44,200,1895.576669
50,200,1900.608151
53,200,1905.581069
47,200,1911.480364
41,200,1917.116654
45,200,1923.303384
45,200,1928.595024
48,200,1933.819999
45,200,1938.918195
49,200,1944.4694
43,200,1950.425652
49,200,1955.458819
53,200,1961.046111
41,200,1966.119534
50,200,1971.372894
56,200,1977.380565
47,200,1982.549757
45,200,1987.463988
47,200,1992.611594
56,200,1997.846749
56,200,2003.704779
45,200,2008.87674
51,200,2014.219898
55,200,2019.518604
45,200,2025.162835
52,200,2031.283355
47,200,2036.502799
45,200,2042.076729
59,200,2047.455592
49,200,2052.448285
58,200,2058.3858
51,200,2063.474118
55,200,2068.906888
50,200,2074.211983
65,200,2079.571504
40,200,2085.772322
52,200,2090.936428
55,200,2095.919147
54,200,2100.837167
49,200,2105.906692
52,200,2111.733943
46,200,2116.967701
46,200,2122.262017
67,200,2127.592291
43,200,2132.877125
47,200,2139.163825
54,200,2144.179406
51,200,2149.417917
45,200,2155.089306
47,200,2160.244433
45,200,2166.699704
51,200,2172.071366
44,200,2177.640063
47,200,2182.895354
46,200,2188.476849
53,200,2194.350003
49,200,2199.366227
61,200,2204.507388
46,200,2209.750255
46,200,2214.912011
51,200,2221.101381
43,200,2226.604028
53,200,2231.974465
54,200,2237.229053
48,200,2242.528943
44,200,2248.393628
51,200,2253.816597
53,200,2259.486003
50,200,2264.673095
52,200,2269.450324
55,200,2276.188456
66,200,2281.491471
51,200,2286.443127
58,200,2291.755255
56,200,2297.454881
53,200,2303.68013
55,200,2309.03603
55,200,2314.711512
57,200,2320.113993
51,200,2325.168371
54,200,2331.387192
56,200,2336.596296
51,200,2341.930518
63,200,2346.7432
58,200,2351.542405
51,200,2358.402185
57,200,2363.682936
46,200,2369.298702
59,200,2375.026462
50,200,2380.095775
56,200,2386.556343
47,200,2391.846673
50,200,2396.909492
50,200,2401.932419
49,200,2407.39238
48,200,2413.663008
51,200,2418.884836
49,200,2424.360174
53,200,2429.312944
56,200,2434.910643
53,200,2440.77891
53,200,2446.439178
52,200,2451.834517
49,200,2457.511119
56,200,2463.291521
50,200,2469.060685
52,200,2473.915696
59,200,2478.769604
50,200,2484.021763
53,200,2489.130845
64,200,2495.092052
53,200,2500.561124
47,200,2505.656068
52,200,2510.764906
41,200,2516.095877
46,200,2522.70448
39,200,2528.028572
50,200,2533.166573
56,200,2538.404185
58,200,2543.612279
59,200,2549.969404
51,200,2555.587954
43,200,2560.86706
58,200,2566.237732
53,200,2571.396487
60,200,2577.332356
47,200,2582.831752
44,200,2587.985208
53,200,2592.965873
57,200,2598.159706
46,200,2604.407126
45,200,2609.395365
45,200,2614.426241
45,200,2620.018053
43,200,2625.136049
56,200,2631.354541
61,200,2636.737224
62,200,2641.784677
48,200,2647.082926
48,200,2652.279904
56,200,2658.532196
47,200,2663.810244
57,200,2669.126202
56,200,2674.431502
54,200,2679.79674
55,200,2686.071792
50,200,2691.329882
53,200,2696.204863
53,200,2701.322528
57,200,2706.73
52,200,2712.957445
44,200,2718.853171
55,200,2724.548996
57,200,2729.808366
55,200,2735.332054
64,200,2741.367049
55,200,2746.609735
52,200,2752.563231
52,200,2757.897471
43,200,2762.851208
46,200,2768.821542
44,200,2773.761102
55,200,2778.574757
47,200,2783.94807
43,200,2789.094487
50,200,2795.348185
57,200,2800.926867
43,200,2805.873269
42,200,2811.140495
53,200,2816.147259
49,200,2822.157436
43,200,2827.391031
53,200,2832.319765
62,200,2837.633765
55,200,2843.116253
58,200,2849.876891
54,200,2855.057072
61,200,2860.384278
47,200,2865.650093
59,200,2870.595427
50,200,2876.423866
60,200,2881.649929
52,200,2886.948813
45,200,2892.569265
57,200,2898.001001
51,200,2904.04388
57,200,2909.208018
55,200,2914.311515
55,200,2919.229286
51,200,2924.321408
53,200,2930.129007
59,200,2935.808346
51,200,2941.421388
65,200,2946.690605
46,200,2952.18109
58,200,2958.25569
53,200,2963.721359
52,200,2968.776647
69,200,2974.152672
47,200,2979.512838
50,200,2985.997858
51,200,2990.877721
49,200,2996.406743
43,200,3001.646945
59,200,3007.356885
48,200,3013.447513
41,200,3018.500029
