#{"t_start": 1596551118.5041268, "env_id": null}
r,l,t
64,200,2671.243369
70,200,2679.829883
73,200,2688.428966
61,200,2696.79791
75,200,2705.62877
65,200,2715.029994
68,200,2723.525611
80,200,2732.030041
67,200,2740.355037
68,200,2748.896686
78,200,2758.120169
72,200,2766.815695
71,200,2775.470489
75,200,2784.22669
71,200,2792.729377
75,200,2802.070149
73,200,2810.58927
71,200,2819.072494
69,200,2827.485538
72,200,2836.137801
74,200,2845.481979
70,200,2853.95633
67,200,2862.515567
70,200,2871.107237
69,200,2879.871009
71,200,2889.706718
81,200,2898.513134
68,200,2907.458756
69,200,2916.654032
68,200,2925.331217
72,200,2934.608688
73,200,2943.202528
64,200,2951.909762
71,200,2960.456391
77,200,2968.755406
73,200,2977.789035
70,200,2986.259498
72,200,2994.873899
84,200,3003.69504
58,200,3012.197964
73,200,3021.465621
67,200,3029.827597
79,200,3038.341918
80,200,3047.039019
68,200,3055.504298
65,200,3065.036879
70,200,3073.870388
67,200,3082.513709
54,200,3091.348495
71,200,3100.208117
79,200,3109.266797
68,200,3117.772562
58,200,3126.812371
68,200,3135.166361
67,200,3143.90302
77,200,3153.285755
62,200,3162.06255
68,200,3170.54868
72,200,3179.09969
65,200,3187.680335
66,200,3196.845581
64,200,3205.48648
62,200,3214.028174
60,200,3222.749141
69,200,3231.288019
66,200,3240.608141
66,200,3249.209385
58,200,3257.498203
74,200,3266.283348
60,200,3274.607435
70,200,3283.82268
63,200,3292.67768
68,200,3301.221936
71,200,3309.77101
63,200,3318.345958
72,200,3328.013015
66,200,3336.540935
55,200,3345.339565
65,200,3354.123362
70,200,3362.622967
74,200,3372.026697
69,200,3380.626024
61,200,3389.401697
68,200,3398.509842
57,200,3407.329818
66,200,3416.377996
64,200,3424.995999
68,200,3433.561484
71,200,3442.159585
63,200,3450.776146
71,200,3460.024038
54,200,3468.612884
70,200,3477.529593
72,200,3486.177284
66,200,3494.701908
73,200,3503.917468
75,200,3512.425282
57,200,3521.086012
64,200,3529.633901
80,200,3538.281148
75,200,3547.916648
77,200,3556.577291
80,200,3565.269733
69,200,3574.164051
68,200,3582.792395
72,200,3591.828332
67,200,3600.602027
63,200,3609.204469
68,200,3617.580288
60,200,3626.186988
70,200,3635.439579
75,200,3644.188694
74,200,3652.835659
67,200,3661.515852
82,200,3670.095989
66,200,3679.584625
78,200,3688.345215
68,200,3696.945257
77,200,3705.459421
70,200,3714.038709
60,200,3724.01584
74,200,3733.120486
78,200,3742.042708
76,200,3750.830431
64,200,3759.685357
67,200,3769.018986
76,200,3777.702587
75,200,3786.138389
77,200,3794.835435
65,200,3804.053859
76,200,3813.506046
74,200,3822.122514
71,200,3831.008477
60,200,3839.76859
62,200,3848.29694
76,200,3857.691143
78,200,3866.576586
68,200,3875.112346
69,200,3883.6034
74,200,3892.599568
70,200,3901.995051
60,200,3910.482823
69,200,3918.974149
67,200,3927.569075
74,200,3936.213543
64,200,3945.300174
71,200,3953.898302
74,200,3962.507754
73,200,3970.981001
64,200,3979.562976
75,200,3989.023995
68,200,3998.479055
68,200,4007.239958
73,200,4016.005708
75,200,4024.759997
78,200,4034.289128
60,200,4043.092171
72,200,4051.758862
69,200,4060.680095
73,200,4069.397638
75,200,4079.435118
66,200,4087.973864
65,200,4096.58286
74,200,4105.211926
71,200,4113.560072
83,200,4123.034674
66,200,4131.889149
74,200,4140.834019
63,200,4149.583705
71,200,4158.515459
68,200,4167.89175
60,200,4176.400186
63,200,4184.950925
71,200,4193.576938
76,200,4202.218551
68,200,4211.696399
73,200,4220.469694
85,200,4229.227699
73,200,4238.337152
68,200,4247.126466
76,200,4256.420368
62,200,4265.082589
68,200,4273.584507
65,200,4281.975227
70,200,4290.596604
78,200,4300.247128
82,200,4308.935983
70,200,4317.575049
77,200,4326.157616
74,200,4334.604213
63,200,4343.958759
60,200,4352.628941
70,200,4361.377982
73,200,4370.024424
62,200,4378.521539
76,200,4387.775236
83,200,4396.318899
76,200,4404.879194
75,200,4413.529915
76,200,4422.047898
70,200,4431.517935
68,200,4440.30398
78,200,4449.222968
73,200,4457.857921
69,200,4466.353836
76,200,4475.604698
68,200,4484.250715
62,200,4493.178827
64,200,4501.888042
76,200,4510.554924
66,200,4520.337617
73,200,4528.940608
67,200,4537.813553
74,200,4546.500202
78,200,4554.963644
83,200,4564.273322
67,200,4572.865872
79,200,4581.448941
72,200,4590.558978
89,200,4599.15156
80,200,4608.55402
78,200,4617.152843
61,200,4625.534063
72,200,4634.171182
74,200,4643.030106
71,200,4652.505817
78,200,4661.354796
81,200,4670.15579
69,200,4678.780037
73,200,4687.593642
85,200,4697.355212
71,200,4705.979473
81,200,4714.660765
68,200,4723.261728
73,200,4732.12126
67,200,4741.521148
70,200,4749.996803
75,200,4758.730473
76,200,4767.281193
67,200,4776.062013
76,200,4785.484973
74,200,4794.473624
70,200,4803.449053
72,200,4812.242755
69,200,4820.821181
68,200,4830.55045
78,200,4839.192184
76,200,4847.691131
75,200,4856.477986
60,200,4865.473502
75,200,4875.604769
73,200,4884.696444
80,200,4893.777008
77,200,4902.753009
67,200,4911.5856
74,200,4921.120916
71,200,4929.742003
87,200,4938.525691
72,200,4947.440826
72,200,4955.953772
73,200,4965.464251
67,200,4974.115732
71,200,4982.804219
67,200,4991.589266
80,200,5000.320925
75,200,5010.071787
62,200,5018.915684
66,200,5027.580939
72,200,5036.236761
63,200,5045.41248
82,200,5055.295642
66,200,5063.95568
65,200,5072.862708
79,200,5081.358613
70,200,5089.938464
66,200,5099.552156
66,200,5108.110116
61,200,5116.754547
85,200,5125.478238
67,200,5134.25769
83,200,5143.576274
68,200,5152.214217
80,200,5161.248829
71,200,5169.945053
69,200,5178.808795
71,200,5188.212789
73,200,5196.812617
75,200,5205.392991
67,200,5214.321594
82,200,5222.881663
74,200,5232.34694
77,200,5241.220025
67,200,5249.997635
70,200,5258.564347
73,200,5267.229829
66,200,5277.016812
76,200,5285.446027
70,200,5294.103234
76,200,5302.943299
64,200,5311.520199
83,200,5320.674534
77,200,5329.458091
79,200,5338.143136
66,200,5346.836012
71,200,5355.417779
67,200,5365.259783
75,200,5373.888926
77,200,5382.473491
70,200,5390.861458
77,200,5399.472801
77,200,5409.292494
78,200,5417.826975
81,200,5426.740228
69,200,5435.304695
71,200,5443.777805
76,200,5453.848653
71,200,5462.441273
70,200,5471.289392
83,200,5479.773535
72,200,5488.438231
71,200,5498.059277
75,200,5506.706883
80,200,5515.021664
75,200,5523.689548
67,200,5532.389717
74,200,5541.938512
83,200,5550.951486
71,200,5559.460843
68,200,5568.287273
75,200,5576.881048
77,200,5586.268428
62,200,5594.848336
75,200,5603.548131
86,200,5611.993224
80,200,5620.763555
80,200,5630.517039
78,200,5639.216538
63,200,5647.539214
69,200,5656.192503
78,200,5664.951019
71,200,5675.034546
78,200,5683.512927
81,200,5691.937726
77,200,5700.683216
71,200,5709.524648
72,200,5719.494892
77,200,5728.350941
82,200,5737.318654
84,200,5745.969805
65,200,5754.63764
75,200,5764.441762
82,200,5772.913461
82,200,5781.544258
79,200,5790.398916
74,200,5798.860819
64,200,5808.510275
56,200,5817.264527
69,200,5826.05057
74,200,5834.764597
80,200,5843.181885
73,200,5852.987349
86,200,5861.593729
81,200,5870.420043
66,200,5879.061055
75,200,5887.747933
78,200,5897.586792
78,200,5906.387973
71,200,5915.272147
83,200,5923.918014
74,200,5932.54915
78,200,5942.098576
72,200,5950.638915
78,200,5959.447367
76,200,5968.431935
83,200,5976.965829
78,200,5986.873063
64,200,5995.520181
85,200,6004.108939
77,200,6012.845245
78,200,6021.806783
77,200,6031.795269
80,200,6040.415688
71,200,6049.151563
72,200,6058.32682
79,200,6067.175296
86,200,6076.832736
74,200,6085.581909
84,200,6094.242854
80,200,6103.010535
85,200,6111.804112
72,200,6121.228151
81,200,6129.894387
86,200,6138.647497
78,200,6147.220442
92,200,6155.884647
82,200,6165.726885
69,200,6174.518601
80,200,6183.131464
71,200,6192.039388
74,200,6200.96177
74,200,6210.804691
77,200,6219.478234
68,200,6228.186
80,200,6236.74862
74,200,6245.485005
85,200,6254.923092
63,200,6263.763584
87,200,6272.511534
76,200,6281.354299
71,200,6289.898305
73,200,6299.531287
76,200,6308.557656
75,200,6317.023341
72,200,6325.874817
63,200,6334.608361
72,200,6344.065219
71,200,6352.737105
81,200,6361.223387
83,200,6369.855507
73,200,6378.481949
72,200,6387.943838
79,200,6396.579489
77,200,6405.128626
80,200,6413.940178
81,200,6422.755611
70,200,6432.295908
69,200,6440.7932
73,200,6449.239494
72,200,6457.780334
81,200,6466.292905
73,200,6475.723651
81,200,6484.721966
84,200,6493.48384
81,200,6502.413332
72,200,6511.30972
85,200,6520.940217
73,200,6529.504201
86,200,6538.021581
76,200,6546.760032
74,200,6555.374514
76,200,6565.274388
71,200,6573.960791
82,200,6582.580542
73,200,6591.288621
79,200,6600.041791
71,200,6609.860798
75,200,6618.660893
74,200,6627.242248
82,200,6636.202902
87,200,6645.021958
79,200,6654.886551
68,200,6663.767462
77,200,6672.651988
82,200,6681.358944
65,200,6689.929552
74,200,6699.452963
77,200,6708.220061
85,200,6716.668705
85,200,6725.233149
78,200,6733.863516
86,200,6743.883904
85,200,6752.66326
78,200,6761.154595
82,200,6769.722001
69,200,6778.269064
82,200,6788.096081
82,200,6796.588144
73,200,6805.205293
84,200,6813.784416
81,200,6822.251995
80,200,6832.021591
92,200,6840.649083
80,200,6849.227408
78,200,6858.154844
83,200,6866.521986
72,200,6876.465753
75,200,6885.074938
79,200,6893.710211
65,200,6902.455622
74,200,6911.145473
80,200,6920.825757
68,200,6929.293502
78,200,6937.981646
82,200,6946.898007
78,200,6955.32771
68,200,6964.90176
82,200,6973.340086
82,200,6982.017281
76,200,6990.742668
82,200,6999.190773
84,200,7009.133726
79,200,7018.030224
82,200,7026.584222
76,200,7035.217382
66,200,7043.960885
77,200,7053.704835
84,200,7062.226521
70,200,7070.837852
72,200,7079.444089
78,200,7087.925043
86,200,7097.615203
72,200,7106.311109
80,200,7114.848773
77,200,7123.435564
76,200,7131.944239
78,200,7141.992599
76,200,7150.851507
90,200,7159.839171
87,200,7168.381007
82,200,7176.978249
86,200,7186.523587
85,200,7195.301758
82,200,7204.092963
80,200,7212.659614
81,200,7221.374267
72,200,7231.174739
76,200,7239.602412
77,200,7248.121728
74,200,7256.814665
87,200,7265.698145
72,200,7275.431197
68,200,7284.247567
86,200,7292.961509
70,200,7301.895549
95,200,7310.608768
67,200,7320.876047
85,200,7329.440189
80,200,7338.200985
80,200,7347.00227
81,200,7355.515298
72,200,7365.116566
79,200,7373.808244
79,200,7382.521759
66,200,7391.502494
86,200,7400.315868
93,200,7409.72823
83,200,7418.408949
80,200,7427.468604
83,200,7435.677665
78,200,7444.545763
85,200,7454.23703
68,200,7462.728681
70,200,7471.316274
78,200,7479.810268
81,200,7488.519765
76,200,7498.480488
84,200,7507.244941
77,200,7516.470981
84,200,7525.309547
79,200,7534.280205
82,200,7544.201511
76,200,7553.11134
72,200,7562.191197
85,200,7570.859997
80,200,7579.544798
77,200,7589.122581
73,200,7597.639168
78,200,7606.177883
81,200,7614.84718
82,200,7623.516279
79,200,7633.114754
67,200,7642.311337
66,200,7651.463795
85,200,7660.715048
73,200,7669.889999
79,200,7680.093575
80,200,7688.638905
79,200,7697.280936
63,200,7706.172676
77,200,7714.944103
70,200,7724.534127
79,200,7734.15211
78,200,7743.010415
66,200,7752.133025
85,200,7760.806194
87,200,7770.225135
79,200,7778.947396
93,200,7787.631219
67,200,7796.226876
73,200,7805.104542
82,200,7814.658065
77,200,7823.409449
74,200,7832.213933
79,200,7840.691473
78,200,7849.609884
65,200,7859.31226
76,200,7868.070006
79,200,7876.77736
78,200,7885.248636
83,200,7893.922622
77,200,7904.068448
76,200,7912.877537
76,200,7921.671974
79,200,7930.34972
70,200,7938.981432
70,200,7948.88775
73,200,7957.435853
84,200,7965.895035
83,200,7974.802849
64,200,7983.433593
77,200,7993.391393
79,200,8002.176203
70,200,8010.653172
88,200,8019.446982
80,200,8027.94581
75,200,8037.565636
80,200,8046.384692
79,200,8055.148424
82,200,8063.67185
83,200,8072.141552
66,200,8081.539258
75,200,8090.168232
77,200,8098.752723
83,200,8107.18604
72,200,8115.964618
76,200,8125.632576
75,200,8134.254128
76,200,8142.974655
67,200,8151.858979
84,200,8160.332344
91,200,8170.110063
75,200,8178.653884
89,200,8187.193052
83,200,8196.084054
71,200,8204.702846
76,200,8214.443804
89,200,8223.301455
68,200,8232.039634
76,200,8240.842639
80,200,8249.275315
78,200,8258.857792
82,200,8267.245873
79,200,8275.89115
87,200,8284.379609
95,200,8292.951634
91,200,8302.872551
81,200,8311.535706
83,200,8320.219784
84,200,8329.100434
73,200,8337.913784
83,200,8347.69755
78,200,8356.531342
84,200,8365.402047
88,200,8374.171955
80,200,8382.617382
64,200,8392.380008
75,200,8400.749491
74,200,8409.333179
85,200,8417.861363
83,200,8426.430054
88,200,8436.296868
81,200,8444.663136
83,200,8453.085431
78,200,8461.851306
83,200,8470.327881
84,200,8480.218588
69,200,8488.578039
85,200,8497.333426
81,200,8505.568343
88,200,8514.594859
71,200,8524.283377
81,200,8532.825028
83,200,8541.571176
86,200,8550.089467
87,200,8558.808194
92,200,8568.372377
75,200,8576.918358
86,200,8585.884613
79,200,8594.515562
80,200,8602.970042
79,200,8612.96125
78,200,8621.46016
74,200,8629.887928
76,200,8638.409365
66,200,8646.807787
70,200,8656.834321
94,200,8665.316957
83,200,8673.850892
73,200,8682.268551
80,200,8690.859551
71,200,8701.238863
84,200,8709.893187
78,200,8718.392055
83,200,8727.51948
87,200,8736.270223
77,200,8745.770992
90,200,8754.529102
77,200,8763.258133
70,200,8771.964532
83,200,8780.584507
75,200,8790.209074
71,200,8799.098096
78,200,8807.667073
92,200,8816.139506
92,200,8824.635407
83,200,8834.663982
86,200,8843.28181
80,200,8851.869615
82,200,8860.844771
72,200,8869.561296
87,200,8879.65303
81,200,8888.205904
79,200,8896.983873
71,200,8905.951625
87,200,8915.114496
85,200,8924.979527
77,200,8933.646327
88,200,8942.545792
85,200,8951.306188
84,200,8959.878358
77,200,8969.475115
72,200,8978.189528
89,200,8986.778182
77,200,8995.335959
85,200,9004.326122
75,200,9014.37559
77,200,9022.972029
87,200,9031.664602
68,200,9040.685426
82,200,9049.448085
81,200,9059.271241
86,200,9068.185801
83,200,9077.071942
92,200,9085.932944
88,200,9094.646132
76,200,9104.424157
84,200,9113.317791
77,200,9122.2146
82,200,9130.579911
78,200,9139.158103
83,200,9148.716802
72,200,9157.498447
88,200,9166.233101
72,200,9174.775633
84,200,9183.568851
83,200,9193.178969
87,200,9201.788276
82,200,9210.393056
77,200,9219.145741
83,200,9227.695247
86,200,9237.099819
83,200,9245.908221
83,200,9254.713814
102,200,9263.60056
83,200,9272.454928
82,200,9282.325377
78,200,9290.981929
78,200,9299.527591
78,200,9307.925273
70,200,9316.809408
77,200,9326.937477
70,200,9336.082351
81,200,9344.817014
76,200,9353.266991
78,200,9362.063745
77,200,9371.933324
81,200,9380.58001
77,200,9389.516804
66,200,9398.279146
83,200,9406.970313
79,200,9416.489177
91,200,9425.221041
78,200,9433.802039
75,200,9442.342545
74,200,9451.335298
85,200,9460.970813
77,200,9469.616898
64,200,9478.204333
67,200,9486.651929
68,200,9495.132322
77,200,9504.972771
89,200,9513.570372
70,200,9522.187916
67,200,9530.898891
84,200,9539.831353
78,200,9549.824643
81,200,9558.555668
74,200,9567.293276
